station_id,timestamp,pm25,latitude,longitude,n_stations,source
"Uptitude Cloud Pvt Ltd - Sector 62, GGN",2026-09-26T01:00:00Z,30.7,28.40240847053802,77.08477464826682,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Sector 1, Noida extension",2026-09-26T01:00:00Z,30.5,28.583491,77.431714,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
Air Check,2026-09-26T01:00:00Z,29.7,28.623056,77.234167,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
GK1 (Oberoi Terrace),2026-09-26T01:00:00Z,19.5,28.5500047,77.2431058,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
NASA GSFC Rutgers Calib. N8,2026-09-26T01:00:00Z,15.5,28.31733,76.91603,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
Anand Lok,2026-09-26T01:00:00Z,8.4,28.5587,77.21886,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Santushti Apartments, Vasant Kunj",2026-09-26T01:00:00Z,7.3,28.5266,77.1493,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Santushti Apartments, Vasant Kunj",2026-09-26T07:00:00Z,49.4,28.5266,77.1493,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Sector 1, Noida extension",2026-09-26T07:00:00Z,38.9,28.583491,77.431714,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
GK1 (Oberoi Terrace),2026-09-26T07:00:00Z,36.0,28.5500047,77.2431058,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Uptitude Cloud Pvt Ltd - Sector 62, GGN",2026-09-26T07:00:00Z,33.5,28.40240847053802,77.08477464826682,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
Air Check,2026-09-26T07:00:00Z,30.3,28.623056,77.234167,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
Anand Lok,2026-09-26T07:00:00Z,26.0,28.5587,77.21886,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
NASA GSFC Rutgers Calib. N8,2026-09-26T06:00:00Z,16.0,28.31733,76.91603,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Sector 1, Noida extension",2026-09-26T12:00:00Z,31.8,28.583491,77.431714,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
NASA GSFC Rutgers Calib. N8,2026-09-26T11:00:00Z,11.7,28.31733,76.91603,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
GK1 (Oberoi Terrace),2026-09-26T12:00:00Z,6.7,28.5500047,77.2431058,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Santushti Apartments, Vasant Kunj",2026-09-26T12:00:00Z,5.5,28.5266,77.1493,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
Air Check,2026-09-26T12:00:00Z,5.1,28.623056,77.234167,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
Anand Lok,2026-09-26T12:00:00Z,3.7,28.5587,77.21886,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
"Uptitude Cloud Pvt Ltd - Sector 62, GGN",2026-09-26T12:00:00Z,3.0,28.40240847053802,77.08477464826682,1,live:OpenAQ v3 (CPCB / DPCC / IMD / UPPCB / HSPCB / RSPCB)
